,0,1,2,3,4
0,0.5424516,0.6258832,0.81086546,1.6575053,1.2843133
1,0.5138303,1.4098663,0.0,0.9037944,1.3425587
2,0.30265802,0.713544,0.3023877,0.7898971,2.0515356
3,2.122717,0.832,0.0,0.63789153,2.0419338
4,1.17199,1.1519399,0.10106859,0.8766162,0.5275456
5,1.2363634,1.0022447,0.06180737,0.6632725,1.0789484
6,0.0,1.0960001,0.35088295,0.9309677,0.62044424
7,1.3057172,0.7439668,0.22720426,1.1132858,1.1997511
8,1.9618979,1.1763877,0.0,1.1152955,1.4019362
9,2.4426918,1.3265231,0.0,0.1841734,0.72355956
10,1.9465697,1.4252375,0.0,1.467735,1.1272378
11,0.49695337,1.494377,0.19581084,1.4632215,0.0
12,0.17574066,1.554579,0.06807244,1.4486952,0.1156472
13,0.72594094,1.3443223,0.09607988,1.3038015,0.035922885
14,2.244014,0.5185617,0.0,0.3153653,1.898345
15,1.0367975,1.015274,0.0700453,0.84999645,0.81632185
16,0.92620146,1.7510492,0.0,1.5676694,0.6653553
17,2.1148038,2.5626955,0.0,2.522862,0.0
18,0.46377134,1.2984502,0.0,0.85266805,1.3748904
19,1.3122339,0.9747729,0.13184987,1.1901903,0.6745582
20,1.1275407,0.77687967,0.1539116,1.037015,0.8591599
21,0.0,1.3146237,0.39444894,1.366978,1.2376376
22,1.1462052,0.5519122,0.105889164,0.30105692,1.8216586
23,0.36556482,1.4343915,0.0,0.39217836,2.408728
24,1.002007,0.0,1.2079828,1.776396,1.4470128
25,1.5335383,1.3172095,0.0,1.1365286,0.76942456
26,1.3811296,0.8689286,0.0,0.6054665,1.95253
27,2.5092058,0.7673482,0.0,0.23644328,3.0489614
28,0.0,0.9545156,0.8355695,1.8191392,1.7328243
29,1.0277652,1.0315179,0.09259922,0.94819224,0.66893566
30,0.882476,0.8371335,0.06538387,1.1584738,0.60646516
31,1.6756573,0.96504635,0.0,0.0,1.7705884
32,0.81206334,1.1415396,0.007838152,0.50190395,0.41731292
33,0.96153325,1.6412804,0.09187323,1.3293648,1.4814034
34,1.0677322,1.3069166,0.0,0.8272077,1.6391248
35,0.67554456,1.4107256,0.07756342,1.3461858,0.29704517
36,1.1257731,0.49980772,0.33964688,0.7087778,0.76361835
37,1.2296798,0.40341634,0.11179188,0.48155892,1.863626
38,0.9331223,1.5587039,0.008192092,1.530268,0.0
39,1.2831444,1.2915349,0.0,0.7556793,1.5051758
40,0.929284,1.8012263,0.0,1.3923099,0.671827
41,0.4507813,0.96424466,0.5206338,1.5058956,1.2785665
42,2.1237116,0.74442196,0.09509556,0.6881645,1.246249
43,1.2427431,0.8250936,0.0,0.61861813,1.4665464
44,2.374627,0.46506023,0.0,0.08772665,2.1362455
45,1.533947,0.9804755,0.0,0.97131085,1.044282
46,0.8686445,0.8643545,0.12150154,0.7770779,0.9614893
47,1.3959737,1.2219422,0.4349903,1.842801,0.98949707
48,0.76224214,1.4461714,0.11401612,1.5903412,0.0
49,2.48868,0.7919618,0.0,0.36467946,2.1649778
50,0.8978247,0.46631932,0.18831453,0.33006024,1.458987
51,0.0,1.1209716,0.5475921,1.3675753,1.7754374
52,0.595135,1.2836831,0.36072937,1.7511451,1.708117
53,1.9950333,1.1759343,0.11511018,1.518836,1.4164686
54,2.160447,0.4894365,0.0,0.47642815,2.5020475
55,3.1020436,0.7764329,0.0,0.9258182,2.12798
56,0.8499556,0.91139615,0.18111174,0.8510744,0.5723291
57,0.28438693,1.4528185,0.27861848,1.601298,1.3191962
58,1.4427361,1.2556884,0.089559644,1.6203732,0.73554325
59,0.67696047,1.3834809,0.054559767,1.1071868,0.6748969
60,1.196327,1.3336762,0.0,0.8634523,2.2526917
61,0.0,0.9196138,0.5289591,0.9824124,2.380971
62,0.0,1.7265829,0.0,1.1361438,0.113293886
63,1.3612475,0.49532592,0.0,0.49445444,1.9558222
64,1.1000699,0.9671544,0.50548404,0.97362375,1.0887122
65,0.64394784,0.12701386,0.68396854,1.0343242,1.9702334
66,0.1955747,0.7067058,0.25076985,0.85924155,0.38971353
67,0.8070696,1.1021312,0.36818242,1.7736018,0.5034575
68,1.6540884,0.94946206,0.19563873,0.8470218,0.62727356
69,0.0,1.5527533,0.44647735,1.3250774,2.1010551
70,1.6060922,1.6041183,0.0,1.519875,1.154046
71,0.81494796,0.8167083,0.08556211,0.67510855,1.0756342
72,1.3660989,0.246095,0.48257142,1.043762,1.9752722
73,0.8355093,1.2982113,0.0,1.2679179,0.77376294
74,1.2538269,0.7653936,0.08941352,0.80368596,1.2597686
75,0.4088875,1.5560095,0.061374843,1.1619452,0.64743996
76,1.2950884,1.4460224,0.0,1.0201505,0.56767946
77,0.5702317,1.5470049,0.0,0.6484679,0.0
78,1.8706841,0.910157,0.0,0.48782426,1.9433802
79,0.3349622,1.221559,0.13981898,0.67797637,1.2572129
80,1.0057081,1.3442733,0.030624025,1.6854596,0.011116385
81,1.0024527,1.7094514,0.0,0.96002066,2.5062819
82,2.5118427,1.5937014,0.0,1.19982,0.9397823
83,0.3904838,0.9865148,0.22798191,1.0222237,0.0
84,0.6754769,0.0,0.7325611,0.2213611,0.8415848
85,0.8265109,0.73462087,0.26096338,0.7516439,0.83574283
86,0.2091319,0.7075013,0.75650257,1.7056718,0.51112354
87,1.4293749,1.1152678,0.0,1.0327542,0.81250596
88,0.0,0.90457463,0.27368954,0.8085101,0.9170638
89,1.961545,1.329592,0.123319924,1.51971,1.0927681
90,1.1963562,0.9898547,0.0,0.7820198,1.1991497
91,1.5398763,0.1721586,0.34722662,0.0,1.8906047
92,0.62318385,0.93536687,0.20305184,0.60345453,0.7172046
93,1.0829821,1.2589997,0.644583,2.350669,1.5985891
94,1.8949167,1.2010635,0.64775705,2.2792249,1.9132705
