,0,1,2,3,4,5,6,7,8,9,10,11,12
0,3.0996327,2.1050708,4.861546,1.2010615,1.0319115,2.2768378,0.0,1.9583063,0.0,2.1328788,4.9278517,3.389273,0.0
1,4.39453,1.491024,4.633244,1.3227564,1.2804979,0.6554865,0.0,1.1659459,0.0,1.5978773,3.526757,2.9620628,0.0
2,2.846981,1.4760243,4.5338335,1.5928713,1.5368223,2.5040336,0.0,1.9042796,0.0,0.7286375,3.8570526,2.5805912,0.0
3,3.067574,1.4290038,5.242934,1.8382064,1.5467083,2.9268556,0.0,1.9000465,0.0,1.0084047,4.4770226,3.4149787,0.0
4,3.2148986,1.2079833,4.899215,1.4415592,2.0058858,2.5622015,0.0,1.7492898,0.0,0.3534481,2.8711452,2.0617304,0.0
5,2.57895,0.4905524,4.246536,1.4968082,2.0744035,3.1487517,0.0,2.3449185,0.0,0.4090166,3.5890927,2.754083,0.0
6,3.6968403,1.6637803,5.3788214,1.6807073,1.203244,2.0707884,0.0,1.5769373,0.0,1.6900905,4.6137586,3.7437913,0.0
7,2.6873713,1.4649292,4.625496,1.5575706,1.3473086,2.5978842,0.0,1.8420801,0.0,1.0373785,3.8521748,2.690962,0.0
8,3.022656,1.1093423,5.6124043,2.0693684,1.2839909,2.8111553,0.0,1.281396,0.0,0.8582354,3.9971514,3.6381192,0.0
9,3.0627928,0.3387001,5.4377995,2.2077858,1.9107519,2.9746246,0.0,1.3999065,0.0,0.012180941,2.9080892,2.9270053,0.0
10,3.7760978,1.6699116,4.5820756,1.9022763,1.7509617,1.61422,0.0,1.6473819,0.0,0.35939607,2.7857547,1.6744825,0.0
11,4.0098615,2.0826821,5.8119097,0.9905049,0.9990195,1.6403391,0.0,1.1463472,0.0,2.1574452,4.5639443,3.8931768,0.0
12,3.902831,2.0528016,4.2237506,0.65715003,1.0699649,1.0627971,0.0,1.8904766,0.0,2.5875401,4.383544,3.0308366,0.0
13,3.6507082,1.2251714,5.27525,1.669193,1.469015,2.2041245,0.0,1.61048,0.0,1.3446263,4.211572,3.571188,0.0
14,3.579546,0.75735974,5.6510944,1.3875785,1.4682972,1.8156313,0.0,0.6693338,0.0,0.82906467,2.8099525,3.010265,0.0
15,3.9086366,2.2436845,5.312999,1.1107552,1.3934419,1.9402868,0.0,1.7891834,0.0,1.8574582,4.7240186,3.3261516,0.0
16,3.4390955,1.223648,4.961966,1.5191756,1.5213094,2.5357637,0.0,2.2362435,0.0,1.7130585,5.083148,4.0441737,0.0
17,3.4720612,1.4492924,4.913399,1.3946975,1.6418829,2.1798878,0.0,1.7963742,0.0,1.1021562,3.7641008,2.7696486,0.0
18,3.298079,1.2185503,4.6097145,2.6764786,1.0652555,1.728525,0.0,1.5234233,0.0,0.7119917,4.0806613,3.0416486,0.0
19,2.9637542,2.098203,4.4357443,1.415136,1.0635102,2.0082855,0.0,1.7520788,0.0,1.3853949,4.117821,2.5370612,0.0
20,3.0088668,1.7200065,4.651236,1.2789667,1.3843539,2.356266,0.0,1.8521922,0.0,1.3405164,4.045862,2.79696,0.0
21,3.2326307,1.6136806,4.702443,2.6279354,0.85769093,2.0838618,0.0,1.9266807,0.0,1.4306409,5.2797346,3.7884238,0.0
22,4.079291,1.580065,5.2384033,1.3982657,1.4421206,1.7485963,0.0,1.5984226,0.0,1.6928598,4.3009186,3.4768836,0.0
23,3.6417336,2.2912214,4.9258432,1.3475424,0.9363729,1.3479458,0.0,1.1494368,0.0,1.656148,4.0583105,2.8103244,0.0
24,3.1298819,3.1014688,5.182105,0.6914929,0.90985435,1.8165618,0.0,0.780069,0.0,1.2808328,3.2738214,1.8391501,0.0
25,4.027078,1.6933738,5.3986115,1.3267486,1.437454,1.7915003,0.0,1.5220052,0.0,1.6520525,4.1840367,3.3867269,0.0
26,2.7377305,1.9876273,4.5338573,1.2307742,1.2165709,2.51539,0.0,2.0656176,0.0,1.607274,4.5919495,2.9554672,0.0
27,3.7127228,0.877169,3.5112245,2.107365,1.2588359,0.34870207,0.0,1.3737501,0.0,0.43838066,2.4346783,1.6052909,0.0
28,2.3191633,1.9921808,4.5673943,1.6113738,1.2098284,3.1042147,0.0,2.2211132,0.0,1.2610935,4.6344085,2.7919016,0.0
29,3.3196383,1.2018497,4.4056573,2.3942482,1.4963319,1.633299,0.0,1.2778893,0.0,0.0,2.5324988,1.6484276,0.0
30,3.4745827,1.2682133,4.548126,1.877627,1.4359593,1.7717493,0.0,1.9116008,0.0,1.0108945,4.0510774,3.1224349,0.0
31,4.04534,1.2746121,5.0568643,1.4870328,1.8714286,2.0215468,0.0,1.9790696,0.0,1.2529606,4.110843,3.2434974,0.0
32,3.3459735,1.2956402,4.9156437,1.1056473,1.4713666,1.9407028,0.0,1.1890167,0.0,0.971965,2.905488,2.3807752,0.0
33,3.6355433,1.9152529,4.315316,0.8826564,1.418711,1.4569333,0.0,1.8043617,0.0,1.7204072,3.5535183,2.3027186,0.0
34,3.410891,1.9528868,4.603794,1.9360685,1.5319054,2.138842,0.0,2.0756576,0.0,0.90070313,4.2811623,2.583778,0.0
35,3.0034304,2.502289,4.47586,1.9581362,0.25266692,1.7088779,0.0,1.7259281,0.0,2.505035,5.636276,3.687983,0.0
36,3.54844,1.5027593,5.256222,1.578097,1.5525314,2.3566866,0.0,1.7838132,0.0,1.2781049,4.290929,3.3436844,0.0
37,2.7553844,2.7280605,4.9393597,1.3897043,0.81215614,2.2458696,0.0,1.4691072,0.0,1.3399136,4.234159,2.5050993,0.0
38,2.772976,1.1092921,4.6328135,1.5143071,1.8490335,3.0450988,0.0,2.2863102,0.0,0.76338017,4.0682406,2.898693,0.0
39,3.487864,0.64489627,5.4006133,1.8813103,1.2498627,2.3381448,0.0,1.4497069,0.0,1.5217574,4.3896375,4.215315,0.0
40,3.5459237,1.8393477,5.1934004,1.1176667,1.8063842,2.2905254,0.0,1.7541705,0.0,0.97606945,3.5408635,2.4138405,0.0
41,3.5503478,1.4074199,5.125133,1.5353698,1.4358088,2.1556458,0.0,1.6816472,0.0,1.360101,4.1691933,3.3406672,0.0
42,3.6867042,1.5103705,4.740391,1.3602511,0.3571265,1.1034821,0.0,1.2861503,0.0,2.9520042,5.021868,4.397156,0.0
43,3.5310178,1.443521,5.128694,1.0393288,1.7082924,2.1142921,0.0,1.576654,0.0,1.0358509,3.3859441,2.6430314,0.0
44,3.1052785,0.79821503,4.6471887,1.1518096,1.9316189,2.5736127,0.0,2.017779,0.0,0.8795703,3.5824504,2.8977714,0.0
45,3.4148169,1.9432236,4.2303314,1.7720791,0.97647464,1.5294617,0.0,1.9361322,0.0,1.6644605,4.699928,3.0215478,0.0
46,2.5149345,2.0163286,4.069355,2.50924,0.4470454,2.1064258,0.0,1.9776227,0.0,1.6316015,5.2977047,3.321043,0.0
47,4.2926188,1.143674,5.265702,1.3727592,1.4889547,1.3829161,0.0,1.2907473,0.0,1.5439649,3.470072,3.3169234,0.0
48,3.9738884,0.9462991,4.573405,1.0834452,1.8789563,1.5358438,0.0,1.6897777,0.0,1.1381421,3.1358461,2.6796448,0.0
49,3.5329232,0.75474477,4.87165,1.5671291,1.9123824,2.2798715,0.0,1.83727,0.0,0.75685406,3.485385,2.9631739,0.0
50,3.3975205,1.2085434,4.4820404,2.4140894,1.0217688,1.5141498,0.0,1.5042384,0.0,0.97343403,4.1031504,3.124533,0.0
51,3.1755075,1.686045,4.114653,1.8956798,1.5672975,1.9967662,0.0,2.038814,0.0,0.66972214,3.8438985,2.1883397,0.0
52,4.1237726,0.26599693,4.4968324,0.75362796,2.4429967,1.3198391,0.0,1.4136776,0.0,0.23562765,1.3838671,1.6132033,0.0
53,4.510156,2.068522,4.1961684,0.33341357,2.4689152,1.0310512,0.0,1.8285205,0.0,0.5489791,2.1378198,0.83730835,0.0
54,3.2663822,1.6228204,5.296858,1.8174118,1.4256698,2.7359447,0.0,1.9162242,0.0,1.3382479,4.709005,3.5490067,0.0
55,4.257689,1.2421548,4.772754,1.0092013,1.9952465,1.4013993,0.0,1.6289619,0.0,1.0438868,3.006652,2.4024253,0.0
56,3.6809697,1.5451739,5.3427577,1.3483263,1.4236311,2.0178409,0.0,1.4494307,0.0,1.4736805,4.153523,3.3911297,0.0
57,4.150117,1.9895468,5.0491,0.74833393,1.3951167,1.1364539,0.0,1.0999825,0.0,1.6480376,3.1866071,2.5744412,0.0
58,2.8109212,1.7325115,5.085201,1.639382,1.3815407,2.916976,0.0,1.9373702,0.0,1.1094239,4.4484234,3.1017044,0.0
59,3.474938,1.478663,4.596615,1.0367482,1.9858075,2.3157487,0.0,2.2385008,0.0,1.0080833,3.8357313,2.5618176,0.0
