Gene,GE,CNA,DM,MutSig(Q-value),# Mut,#Profiled Samples,Freq,Is Cancer Gene (source: OncoKB)
ATM,0.8004313289202494,0.5565117613310384,,22,22,499,4.4%,Yes
ATM,0.7759880310388292,0.5565117613310384,,22,22,499,4.4%,Yes
ATM,0.5435304045677185,0.6037641167640686,,22,22,499,4.4%,Yes
ATM,0.6038730425188192,0.5748709122203098,,22,22,499,4.4%,Yes
ATM,0.7443362476517077,0.5582329317269076,,22,22,499,4.4%,Yes
ATM,0.7424211411215529,0.5576592082616179,,22,22,499,4.4%,Yes
ATM,0.6939052528268612,0.5559380378657487,,22,22,499,4.4%,Yes
ATM,0.5834756501533676,0.5559380378657487,,22,22,499,4.4%,Yes
ATM,0.6016542290699403,0.5576592082616179,,22,22,499,4.4%,Yes
ATM,0.6589752133546258,0.5559380378657487,,22,22,499,4.4%,Yes
ATM,0.5015181919222207,0.6035570854847964,,22,22,499,4.4%,Yes
ATM,0.3429322694595678,0.5473321858864028,,22,22,499,4.4%,Yes
ATM,0.4562150902246369,0.5530694205393001,,22,22,499,4.4%,Yes
ATM,0.5840803317173631,0.5536431440045898,,22,22,499,4.4%,Yes
ATM,0.4903689324855804,0.5882056355476379,,22,22,499,4.4%,Yes
ATM,0.4774561701873279,0.5559380378657487,,22,22,499,4.4%,Yes
ATM,0.1524235469861481,0.5507745266781411,,22,22,499,4.4%,Yes
ATM,0.2037227302789688,0.1873220950365066,,22,22,499,4.4%,Yes
ATM,0.7050386504603865,0.5622489959839357,,22,22,499,4.4%,Yes
ATM,0.5337879657745361,0.3544976413249969,,22,22,499,4.4%,Yes
ATM,0.5189637863268071,0.5588066551921974,,22,22,499,4.4%,Yes
ATM,0.5238301307856132,0.5547905909351692,,22,22,499,4.4%,Yes
ATM,0.4840876070011402,0.555364314400459,,22,22,499,4.4%,Yes
ATM,0.6888871192932129,0.6052582263946533,,22,22,499,4.4%,Yes
ATM,0.4970182633314928,0.5582329317269076,,22,22,499,4.4%,Yes
ATM,0.6328077626414754,0.6087205966724039,,22,22,499,4.4%,Yes
ATM,0.7907578488678273,0.5536431440045898,,22,22,499,4.4%,Yes
ATM,0.6491034092525645,0.5582329317269076,,22,22,499,4.4%,Yes
ATM,0.504833740221998,0.5542168674698795,,22,22,499,4.4%,Yes
ATM,0.5236428799270478,0.555364314400459,,22,22,499,4.4%,Yes
ATM,0.4090233302555841,0.2507171543316121,,22,22,499,4.4%,Yes
ATM,0.6198951260774463,0.5536431440045898,,22,22,499,4.4%,Yes
ATM,0.473344785343162,0.5605278255880666,,22,22,499,4.4%,Yes
ATM,0.5469416645814174,0.5559380378657487,,22,22,499,4.4%,Yes
ATM,0.8657336831092834,0.5507040023803711,,22,22,499,4.4%,Yes
ATM,0.5867497007487903,0.555364314400459,,22,22,499,4.4%,Yes
ATM,0.2011170191904465,0.5943775100401607,,22,22,499,4.4%,Yes
ATM,0.7836900945725458,0.5599541021227769,,22,22,499,4.4%,Yes
ATM,0.5069283637354651,0.5599541021227769,,22,22,499,4.4%,Yes
ATM,0.2625380886650004,0.5662650602409639,,22,22,499,4.4%,Yes
ATM,0.7292487363754816,0.244406196213425,,22,22,499,4.4%,Yes
ATM,0.5226094787771087,0.5565117613310384,,22,22,499,4.4%,Yes
ATM,0.5745311852343753,0.5542168674698795,,22,22,499,4.4%,Yes
ATM,0.7935463525630015,0.5547905909351692,,22,22,499,4.4%,Yes
ATM,0.8145703077316284,0.4891368448734283,,22,22,499,4.4%,Yes
ATM,0.7248356545399193,0.5559380378657487,,22,22,499,4.4%,Yes
ATM,0.7308815717697144,0.4858727157115936,,22,22,499,4.4%,Yes
ATM,0.6600679041891109,0.5588066551921974,,22,22,499,4.4%,Yes
ATM,0.0,0.555364314400459,,22,22,499,4.4%,Yes
ATM,0.5482076238540148,0.5570854847963281,,22,22,499,4.4%,Yes
ATM,0.7236153614962344,0.5542168674698795,,22,22,499,4.4%,Yes
ATM,0.5773351511419977,0.5547905909351692,,22,22,499,4.4%,Yes
ATM,0.6318136852326539,0.5507745266781411,,22,22,499,4.4%,Yes
ATM,0.4414051460427206,0.5559380378657487,,22,22,499,4.4%,Yes
ATM,0.4083650473621421,0.561675272518646,,22,22,499,4.4%,Yes
ATM,0.4340120851993561,0.5253373980522156,,22,22,499,4.4%,Yes
ATM,0.3803859299390608,0.1577739529546757,,22,22,499,4.4%,Yes
ATM,0.7254244895804844,0.6672403901319564,,22,22,499,4.4%,Yes
ATM,0.8240792999273943,0.5570854847963281,,22,22,499,4.4%,Yes
ATM,0.6882484555244446,0.4886917471885681,,22,22,499,4.4%,Yes
ATM,0.7904505552227379,0.5611015490533563,,22,22,499,4.4%,Yes
ATM,0.6772864306153861,0.5473321858864028,,22,22,499,4.4%,Yes
ATM,0.5230339765548706,0.5774996876716614,,22,22,499,4.4%,Yes
ATM,0.7580613328155534,0.5582329317269076,,22,22,499,4.4%,Yes
ATM,0.5913964831852114,0.5450372920252439,,22,22,499,4.4%,Yes
ATM,0.8342050527955984,0.5611015490533563,,22,22,499,4.4%,Yes
ATM,0.6507683323350966,0.5576592082616179,,22,22,499,4.4%,Yes
ATM,0.7573996411507329,0.5547905909351692,,22,22,499,4.4%,Yes
ATM,0.1594659239053726,0.3897908926010132,,22,22,499,4.4%,Yes
ATM,0.6242657078935037,0.5611015490533563,,22,22,499,4.4%,Yes
ATM,0.5251969961808296,0.5547905909351692,,22,22,499,4.4%,Yes
ATM,0.5975554970484582,0.5536431440045898,,22,22,499,4.4%,Yes
ATM,0.5920243939675132,0.5565117613310384,,22,22,499,4.4%,Yes
ATM,0.5554826283320953,0.5559380378657487,,22,22,499,4.4%,Yes
ATM,0.7863495961973936,0.8594377510040161,,22,22,499,4.4%,Yes
ATM,0.667383715424009,0.5582329317269076,,22,22,499,4.4%,Yes
ATM,0.5699468024148575,0.6965002868617327,,22,22,499,4.4%,Yes
ATM,0.3317158888868903,0.561675272518646,,22,22,499,4.4%,Yes
